,Month of Order Date,Category,Target,Month
0,Apr-18,Furniture,10400.0,2018-04-01
1,May-18,Furniture,10500.0,2018-05-01
2,Jun-18,Furniture,10600.0,2018-06-01
3,Jul-18,Furniture,10800.0,2018-07-01
4,Aug-18,Furniture,10900.0,2018-08-01
5,Sep-18,Furniture,11000.0,2018-09-01
6,Oct-18,Furniture,11100.0,2018-10-01
7,Nov-18,Furniture,11300.0,2018-11-01
8,Dec-18,Furniture,11400.0,2018-12-01
9,Jan-19,Furniture,11500.0,2019-01-01
10,Feb-19,Furniture,11600.0,2019-02-01
11,Mar-19,Furniture,11800.0,2019-03-01
12,Apr-18,Clothing,12000.0,2018-04-01
13,May-18,Clothing,12000.0,2018-05-01
14,Jun-18,Clothing,12000.0,2018-06-01
15,Jul-18,Clothing,14000.0,2018-07-01
16,Aug-18,Clothing,14000.0,2018-08-01
17,Sep-18,Clothing,14000.0,2018-09-01
18,Oct-18,Clothing,16000.0,2018-10-01
19,Nov-18,Clothing,16000.0,2018-11-01
20,Dec-18,Clothing,16000.0,2018-12-01
21,Jan-19,Clothing,16000.0,2019-01-01
22,Feb-19,Clothing,16000.0,2019-02-01
23,Mar-19,Clothing,16000.0,2019-03-01
24,Apr-18,Electronics,9000.0,2018-04-01
25,May-18,Electronics,9000.0,2018-05-01
26,Jun-18,Electronics,9000.0,2018-06-01
27,Jul-18,Electronics,9000.0,2018-07-01
28,Aug-18,Electronics,9000.0,2018-08-01
29,Sep-18,Electronics,9000.0,2018-09-01
30,Oct-18,Electronics,9000.0,2018-10-01
31,Nov-18,Electronics,9000.0,2018-11-01
32,Dec-18,Electronics,9000.0,2018-12-01
33,Jan-19,Electronics,16000.0,2019-01-01
34,Feb-19,Electronics,16000.0,2019-02-01
35,Mar-19,Electronics,16000.0,2019-03-01
